STAID, SOUID,    DATE,   TN, Q_TN
   274,   921,18151230,   47,    1
   274,   921,18151231,  -66,    0
   274,   921,18160101,  -44,    0
   274,   921,18160102,  -56,    0
   274,   921,18160103,  -66,    0
   274,   921,18160104,  -56,    0
   274,   921,18160105,  -27,    0
   274,   921,18160106,  -10,    0
   274,   921,18160107,  -10,    0
   274,   921,18160108,  -44,    0
   274,   921,18160109,   25,    0
   274,   921,18160110,   13,    0
   274,   921,18160111,   -4,    0
   274,   921,18160112,    2,    0
   274,   921,18160113,  -10,    0
   274,   921,18160114,  -32,    0
   274,   921,18160115,  -38,    0
   274,   921,18160116,  -38,    0
   274,   921,18160117,  -21,    0
   274,   921,18160118,  -44,    0
   274,   921,18160119,  -32,    0
   274,   921,18160120,  -21,    0
   274,   921,18160121,  -38,    0
   274,   921,18160122,  -21,    0
   274,   921,18160123,  -32,    0
   274,   921,18160124,  -15,    0
   274,   921,18160125,  -32,    0
   274,   921,18160126,  -32,    0
   274,   921,18160127,  -27,    0
   274,   921,18160128,  -44,    0
   274,   921,18160129,  -72,    0
   274,   921,18160130, -101,    0
   274,   921,18160131, -107,    0
   274,   921,18160201,  -90,    0
   274,   921,18160202, -112,    0
   274,   921,18160203,  -10,    0
   274,   921,18160204,  -21,    0
   274,   921,18160205,  -32,    0
   274,   921,18160206,  -21,    0
   274,   921,18160207,  -61,    0
   274,   921,18160208, -118,    0
   274,   921,18160209, -135,    0
   274,   921,18160210, -139,    0
   274,   921,18160211,  -39,    0
   274,   921,18160212,  -83,    0
   274,   921,18160213,  -67,    0
   274,   921,18160214,  -50,    0
   274,   921,18160215,  -17,    0
   274,   921,18160216,   11,    0
   274,   921,18160217,    6,    0
   274,   921,18160218,  -50,    0
   274,   921,18160219,  -17,    0
   274,   921,18160220,   44,    0
   274,   921,18160221,   11,    0
   274,   921,18160222,   33,    0
   274,   921,18160223,   28,    0
   274,   921,18160224,   11,    0
   274,   921,18160225,   44,    0
   274,   921,18160226,    0,    0
   274,   921,18160227,  -11,    0
   274,   921,18160228,    0,    0
   274,   921,18160229,  -61,    0
   274,   921,18160301,  -50,    0
   274,   921,18160302,    6,    0
   274,   921,18160303,   11,    0
   274,   921,18160304,    0,    0
   274,   921,18160305,  -17,    0
   274,   921,18160306,    0,    0
   274,   921,18160307,    6,    0
   274,   921,18160308,    6,    0
   274,   921,18160309,   -6,    0
   274,   921,18160310,  -33,    0
   274,   921,18160311,  -11,    0
   274,   921,18160312,   78,    0
   274,   921,18160313,   44,    0
   274,   921,18160314,   39,    0
   274,   921,18160315,   61,    0
   274,   921,18160316,  -17,    0
   274,   921,18160317,  -17,    0
   274,   921,18160318,   11,    0
   274,   921,18160319,   17,    0
   274,   921,18160320,   11,    0
   274,   921,18160321,  -33,    0
   274,   921,18160322,   33,    0
   274,   921,18160323,   39,    0
   274,   921,18160324,  -11,    0
   274,   921,18160325,    6,    0
   274,   921,18160326,   11,    0
   274,   921,18160327,   11,    0
   274,   921,18160328,    6,    0
   274,   921,18160329,  -11,    0
   274,   921,18160330,  -44,    0
   274,   921,18160331,  -22,    0
   274,   921,18160401,  -17,    0
   274,   921,18160402,  -22,    0
   274,   921,18160403,  -28,    0
   274,   921,18160404,  -33,    0
   274,   921,18160405,  -39,    0
   274,   921,18160406,   11,    0
   274,   921,18160407,   -6,    0
   274,   921,18160408,    0,    0
   274,   921,18160409,  -22,    0
   274,   921,18160410,   22,    0
   274,   921,18160411,   22,    0
   274,   921,18160412,   17,    0
   274,   921,18160413,    0,    0
   274,   921,18160414,  -33,    0
   274,   921,18160415,  -22,    0
   274,   921,18160416,    6,    0
   274,   921,18160417,   33,    0
   274,   921,18160418,   17,    0
   274,   921,18160419,   28,    0
   274,   921,18160420,    0,    0
   274,   921,18160421,   22,    0
   274,   921,18160422,   11,    0
   274,   921,18160423,   78,    0
   274,   921,18160424,   61,    0
   274,   921,18160425,   33,    0
   274,   921,18160426,   44,    0
   274,   921,18160427,   22,    0
   274,   921,18160428,   72,    0
   274,   921,18160429,  100,    0
   274,   921,18160430,   83,    0
   274,   921,18160501,   39,    0
   274,   921,18160502,   56,    0
   274,   921,18160503,   39,    0
   274,   921,18160504,   83,    0
   274,   921,18160505,   78,    0
   274,   921,18160506,   72,    0
   274,   921,18160507,   28,    0
   274,   921,18160508,   61,    0
   274,   921,18160509,   56,    0
   274,   921,18160510,   50,    0
   274,   921,18160511,   22,    0
   274,   921,18160512,   11,    0
   274,   921,18160513,  -11,    0
   274,   921,18160514,    6,    0
   274,   921,18160515,   67,    0
   274,   921,18160516,   72,    0
   274,   921,18160517,  106,    1
   274,   921,18160518,   44,    0
   274,   921,18160519,   33,    0
   274,   921,18160520,   22,    0
   274,   921,18160521,   39,    0
   274,   921,18160522,   50,    0
   274,   921,18160523,   56,    0
   274,   921,18160524,   78,    0
   274,   921,18160525,  106,    0
   274,   921,18160526,   17,    0
   274,   921,18160527,   56,    0
   274,   921,18160528,   83,    0
   274,   921,18160529,  111,    0
   274,   921,18160530,   78,    0
   274,   921,18160531,   89,    0
   274,   921,18160601,  111,    0
   274,   921,18160602,  106,    0
   274,   921,18160603,   78,    0
   274,   921,18160604,   83,    0
   274,   921,18160605,   83,    0
   274,   921,18160606,   33,    0
   274,   921,18160607,   50,    0
   274,   921,18160608,  100,    0
   274,   921,18160609,   72,    0
   274,   921,18160610,   56,    0
   274,   921,18160611,   61,    0
   274,   921,18160612,   61,    0
   274,   921,18160613,   72,    0
   274,   921,18160614,  106,    0
   274,   921,18160615,   78,    0
   274,   921,18160616,   72,    0
   274,   921,18160617,   89,    0
   274,   921,18160618,   61,    0
   274,   921,18160619,   89,    0
   274,   921,18160620,   61,    0
   274,   921,18160621,  106,    0
   274,   921,18160622,  100,    0
   274,   921,18160623,  117,    0
   274,   921,18160624,  100,    0
   274,   921,18160625,   83,    0
   274,   921,18160626,  122,    0
   274,   921,18160627,  100,    0
   274,   921,18160628,   89,    0
   274,   921,18160629,   89,    0
   274,   921,18160630,  106,    0
   274,   921,18160701,  106,    0
   274,   921,18160702,   72,    0
   274,   921,18160703,   89,    0
   274,   921,18160704,   72,    0
   274,   921,18160705,   94,    0
   274,   921,18160706,   89,    0
   274,   921,18160707,  122,    0
   274,   921,18160708,   94,    0
   274,   921,18160709,  100,    0
   274,   921,18160710,  100,    0
   274,   921,18160711,   72,    0
   274,   921,18160712,  111,    0
   274,   921,18160713,   89,    0
   274,   921,18160714,   89,    0
   274,   921,18160715,  128,    0
   274,   921,18160716,  100,    0
   274,   921,18160717,  117,    0
   274,   921,18160718,   83,    0
   274,   921,18160719,   83,    0
   274,   921,18160720,  139,    0
   274,   921,18160721,  172,    0
   274,   921,18160722,  106,    0
   274,   921,18160723,  106,    0
   274,   921,18160724,  100,    0
   274,   921,18160725,   94,    0
   274,   921,18160726,  128,    0
   274,   921,18160727,  111,    0
   274,   921,18160728,  100,    0
   274,   921,18160729,   94,    0
   274,   921,18160730,  100,    0
   274,   921,18160731,   50,    0
   274,   921,18160801,   83,    0
   274,   921,18160802,   78,    0
   274,   921,18160803,   89,    0
   274,   921,18160804,   78,    0
   274,   921,18160805,   78,    0
   274,   921,18160806,   67,    0
   274,   921,18160807,  122,    0
   274,   921,18160808,  133,    0
   274,   921,18160809,  100,    0
   274,   921,18160810,  100,    0
   274,   921,18160811,  128,    0
   274,   921,18160812,  122,    0
   274,   921,18160813,  117,    0
   274,   921,18160814,   89,    0
   274,   921,18160815,  111,    0
   274,   921,18160816,  111,    0
   274,   921,18160817,  106,    0
   274,   921,18160818,   78,    0
   274,   921,18160819,   72,    0
   274,   921,18160820,   78,    0
   274,   921,18160821,   56,    0
   274,   921,18160822,  128,    0
   274,   921,18160823,  128,    0
   274,   921,18160824,  117,    0
   274,   921,18160825,  112,    0
   274,   921,18160826,  106,    0
   274,   921,18160827,  106,    0
   274,   921,18160828,   61,    0
   274,   921,18160829,   78,    0
   274,   921,18160830,  111,    0
   274,   921,18160831,   89,    0
   274,   921,18160901,   83,    0
   274,   921,18160902,   39,    0
   274,   921,18160903,   17,    0
   274,   921,18160904,   67,    0
   274,   921,18160905,   39,    0
   274,   921,18160906,   50,    0
   274,   921,18160907,  100,    0
   274,   921,18160908,  106,    0
   274,   921,18160909,  106,    0
   274,   921,18160910,  117,    0
   274,   921,18160911,   83,    0
   274,   921,18160912,   67,    0
   274,   921,18160913,   72,    0
   274,   921,18160914,  122,    0
   274,   921,18160915,  122,    0
   274,   921,18160916,  133,    0
   274,   921,18160917,  111,    0
   274,   921,18160918,  100,    0
   274,   921,18160919,  111,    0
   274,   921,18160920,   28,    0
   274,   921,18160921,   72,    0
   274,   921,18160922,  117,    0
   274,   921,18160923,   89,    0
   274,   921,18160924,  106,    0
   274,   921,18160925,   83,    0
   274,   921,18160926,   78,    0
   274,   921,18160927,   67,    0
   274,   921,18160928,  122,    0
   274,   921,18160929,   83,    0
   274,   921,18160930,   61,    0
   274,   921,18161001,  100,    0
   274,   921,18161002,   89,    0
   274,   921,18161003,   67,    0
   274,   921,18161004,   83,    0
   274,   921,18161005,  128,    0
   274,   921,18161006,  122,    0
   274,   921,18161007,  122,    0
   274,   921,18161008,  122,    0
   274,   921,18161009,  100,    0
   274,   921,18161010,  122,    0
   274,   921,18161011,  118,    1
   274,   921,18161012,   72,    0
   274,   921,18161013,   72,    0
